Name,Rating,Reviews,Type,Employe,Sector,Old
TCS,3.8,74.2k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Accenture,4.0,47k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Cognizant,3.9,42.4k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Wipro,3.8,39.9k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Capgemini,3.9,34.5k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
HDFC Bank,4.0,34.3k,Banking,1 Lakh+ Employees,Public,30 years old
ICICI Bank,4.0,33.9k,Banking,1 Lakh+ Employees,Public,30 years old
Infosys,3.8,32.3k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
HCLTech,3.7,29k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Tech Mahindra,3.7,28k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Genpact,3.9,26.6k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Axis Bank,3.9,22.3k,Banking,50k-1 Lakh Employees,Public,31 years old
Teleperformance,3.6,22.3k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Concentrix Corporation,3.9,22.1k,BPO,50k-1 Lakh Employees,Public,41 years old
Jio,4.0,20.8k,Telecom,50k-1 Lakh Employees,Public,17 years old
Amazon,4.1,20.8k,Internet,1 Lakh+ Employees,Public,30 years old
IBM,4.1,19.9k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Reliance Retail,4.0,19.1k,Retail,1 Lakh+ Employees,NaN,NaN
HDB Financial Services,4.0,18.4k,NBFC,1 Lakh+ Employees,NaN,NaN
Larsen & Toubro Limited,4.1,16.8k,Engineering & Construction,10k-50k Employees,Public,86 years old
Vodafone Idea,4.2,15.5k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
BYJU'S,3.1,14.8k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Kotak Mahindra Bank,3.9,14.5k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Deloitte,3.9,14.1k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Reliance Industries,4.1,13.8k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
iEnergizer,4.7,14k,Banking,1 Lakh+ Employees,Public,30 years old
Bharti Airtel,4.1,12.4k,Banking,1 Lakh+ Employees,Public,30 years old
Tata Motors,4.2,10.6k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
WNS,3.5,9.8k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Flipkart,4.1,9.4k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
IndusInd Bank,3.7,9.3k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Ernst & Young,3.6,9.1k,Banking,50k-1 Lakh Employees,Public,31 years old
AU Small Finance Bank,4.5,8.8k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Mahindra & Mahindra,4.2,8.8k,BPO,50k-1 Lakh Employees,Public,41 years old
